file_name,pitch(Hz),voice,syllable,id,audio_file,audio_file_path,file_key,V1_mean,V1_sd,V2_mean,V2_sd,V3_mean,V3_sd,V4_mean,V4_sd,V5_mean,V5_sd,V6_mean,V6_sd,V7_mean,V7_sd,V8_mean,V8_sd,V9_mean,V9_sd,V10_mean,V10_sd,V11_mean,V11_sd,V12_mean,V12_sd,mean,sd,median,sem,mode,Q25,Q75,IQR,cent,skewness,kurtosis,sfm,sh,prec,duration,sample_rate,bit_depth,rms,zero_crossing_rate,shannon_entropy,acoustic_complexity_index,acoustic_diversity_index,acoustic_diversity_index2,acoustic_diversity_index3,acoustic_entropy_index,acoustic_evenness_index,bioacoustic_index,frequency_peaks_number,amplitude_index,normalized_difference_soundscape_index,spectral_entropy_ndsi,spectral_entropy_anthrophony,spectral_entropy_biophony,spectral_entropy2,temporal_entropy
Alto2_Ah_1,147.1424236641514,Alto2,Ah,1,Alto2_Ah_1.wav,Vocals/Alto2/Ah/Alto2_Ah_1.wav,Alto2_Ah_1.wav,72.89005217374563,7.486926988393349,15.300821734196214,2.646103813023098,-9.273011171779675,1.8572489325091297,0.6340568729593867,1.937329261326375,-8.84177356800228,2.4138839783304737,-5.40601194651996,2.1629949177417203,-16.613024070438655,2.948446420703348,12.656972892193451,2.7026746983004357,5.123782038845086,2.693397254366829,-1.7413354415745301,3.796368887430193,-5.271691955390792,2.366167126139702,4.831999071461537,3.698725329467927,,,,,,,,,,,,,,,1,44100,16,1442.2725657663216,0.03569160997732426,0.6203995981961575,146.1763078063781,NA,NA,1.804222,0.6203995981961575,0.50157,13.323753177548104,44,0.02891700767327086,-0.8655903328910416,-0.8557954201734356,0.998640025461316,0.07759932140374623,0.6353199001975226,0.9765152925373087
Alto2_Ah_2,155.982552854173,Alto2,Ah,2,Alto2_Ah_2.wav,Vocals/Alto2/Ah/Alto2_Ah_2.wav,Alto2_Ah_2.wav,74.95417026093317,2.891529116330465,14.626001901081686,1.1415684002304163,-10.180355789622606,1.560517478310333,-0.5538583780774577,2.1269247367813775,-10.085343009097194,2.5550304623818745,-6.036222383807569,2.748918154105205,-14.072358731378019,2.395675151522354,15.88691228010389,2.306080359379203,1.9165323157551382,2.005975829462095,-3.819811217169534,3.9714938451429003,-3.200909316810794,2.2715104455162605,2.9934909471107494,3.724319373680662,,,,,,,,,,,,,,,1,44100,16,1450.8127611955208,0.03736961451247166,0.6310956109314905,147.8673047517164,NA,NA,1.895428,0.6310956109314905,0.456181,14.508296836501337,46,0.029271513367691855,-0.8642021932298566,-0.8625743427041294,0.998931501941009,0.07370380612485504,0.6448438063850759,0.9786798053769697
Alto2_Ah_3,165.24799339454222,Alto2,Ah,3,Alto2_Ah_3.wav,Vocals/Alto2/Ah/Alto2_Ah_3.wav,Alto2_Ah_3.wav,75.71962340123667,2.980238083406799,14.494900375264642,1.2376468294167788,-11.592717173288008,1.7444474048720924,-0.2554435893292582,2.031971136101418,-11.152916431898479,2.332457036139529,-6.270987884551303,2.528446173308314,-11.224175672450334,2.428667759682806,18.18642020480246,2.449912198929484,-3.0416918956457337,2.2228713871150623,-4.203154517723958,3.486146964683764,-2.196191153441073,2.333839701629789,1.0909051559925247,3.0565343850373057,,,,,,,,,,,,,,,1,44100,16,1485.402121655704,0.03968253968253968,0.6377504003751836,142.10013091903963,NA,NA,1.943427,0.6377504003751836,0.421421,15.609139049769377,43,0.02998651764395223,-0.8910437685868682,-0.8797493338095826,0.9993021749208301,0.06392700882953775,0.6515527607566987,0.9788162045918042
Alto2_Ah_4,174.99602701235813,Alto2,Ah,4,Alto2_Ah_4.wav,Vocals/Alto2/Ah/Alto2_Ah_4.wav,Alto2_Ah_4.wav,76.13702264915136,2.9091961013580785,14.3673116177877,1.2897826079335915,-13.508560264926695,1.7268321159726918,0.006906564259550148,2.149275511082274,-13.128614568955088,2.6339548596693194,-4.747806213847464,2.5776503775473034,-8.179973528194065,2.617322903730708,20.435998743817823,2.3325887690067497,-7.409643068880862,3.158885849030699,-3.0026585091590765,3.1441654279045532,-0.3577627068904323,2.455767051425595,0.23461534832776262,2.8585824278460996,,,,,,,,,,,,,,,1,44100,16,1514.8690325708642,0.042222222222222223,0.6447979527611889,138.13605667231704,NA,NA,1.855679,0.6447979527611889,0.473143,16.561823028632947,47,0.029742681729452138,-0.8969577843450658,-0.8958670588470378,0.9994887816775538,0.054898209238769154,0.6591528653779044,0.9782221797541826
Alto2_Ah_5,185.86793247918553,Alto2,Ah,5,Alto2_Ah_5.wav,Vocals/Alto2/Ah/Alto2_Ah_5.wav,Alto2_Ah_5.wav,78.3834015412302,5.1440938713580895,13.110005025783977,1.4599938658959573,-11.476979150738511,1.6685806012314288,3.5833981439827474,1.5364069501787179,-14.462381267786004,1.8949021151938663,-2.9065393013101546,1.7095955418750635,-12.991198026026472,3.1222726715222446,19.99428547370892,1.7766670311897959,2.0355167988108036,3.0975499118621683,-4.721935013707718,1.6222844579702957,-5.094519837299341,2.0924402496536554,6.319779027411075,1.8682167400599239,,,,,,,,,,,,,,,1,44100,16,1694.3212686539011,0.037936507936507935,0.659298039016967,150.51016462124025,NA,NA,2.112183,0.659298039016967,0.321483,16.939275130577542,50,0.03326846632173899,-0.8092489214535271,-0.8069284345587343,0.9980757454891637,0.10664509059962299,0.6734019777107721,0.9790556916067407
Alto2_Ah_6,195.51011645987907,Alto2,Ah,6,Alto2_Ah_6.wav,Vocals/Alto2/Ah/Alto2_Ah_6.wav,Alto2_Ah_6.wav,79.0128441576912,4.2496788402537184,12.620695585225565,1.0524249527113492,-12.97565390779559,2.05213760416432,3.079474657983391,1.5100554537386084,-15.625562328750284,1.7641969325016555,-1.2215556072670382,1.8931001244666068,-10.436354989955435,2.73366221208714,23.75710383808122,2.1138664959770193,-3.581374421150273,2.336301125740454,-6.465833079959407,1.6498832712258853,-2.7327613688317616,1.9423796645808815,2.912016941205095,1.780611866646464,,,,,,,,,,,,,,,1,44100,16,1739.0509015902132,0.039931972789115644,0.6658775915605307,134.8921314598564,NA,NA,2.027963,0.6658775915605307,0.379047,14.926374625439491,52,0.03411996338746891,-0.8517465193069946,-0.8346906499973719,0.9985853866053588,0.089974569381542,0.6795711671165233,0.9798496813599441
Alto2_Ah_7,207.16950420728497,Alto2,Ah,7,Alto2_Ah_7.wav,Vocals/Alto2/Ah/Alto2_Ah_7.wav,Alto2_Ah_7.wav,76.4812215151042,4.276320170397278,12.837167407522927,0.885027196280381,-9.730579785427407,1.3150531687380036,2.9295596904520442,1.4228048776017705,-17.17189952742666,1.9562082677984287,-0.3442092168478614,1.25973692187048,-11.959324262704353,1.8989525020419198,22.17708402023999,2.484466652434473,-5.232382904160192,1.7258209795827895,-6.280609835730564,1.6221528254657311,-9.577257297731826,2.4512176244036428,6.781892790858218,2.0169892105847294,,,,,,,,,,,,,,,1,44100,16,1542.1062625915179,0.04108843537414966,0.6458999815513903,141.95783811678388,NA,NA,1.992677,0.6458999815513903,0.417962,13.818797856954419,54,0.029183845333730366,-0.9360664756905477,-0.932739928764935,0.9997873351375248,0.03479297259835542,0.6596266359818906,0.9791902666118576
Alto2_Ah_8,219.3787226427826,Alto2,Ah,8,Alto2_Ah_8.wav,Vocals/Alto2/Ah/Alto2_Ah_8.wav,Alto2_Ah_8.wav,77.04872528653539,3.7942998500623126,12.179757760909656,1.0637296700105592,-10.626220970744912,1.8956530884712939,2.393037354889282,1.215495963596804,-17.48702300652013,1.57711347715688,1.3376321524870263,1.5898277065851352,-9.134024326374902,1.6817363334763413,21.84536507419915,1.8467164442307205,-12.250121979085197,2.867015999307934,-8.56405706895445,2.513502879149242,-8.758976371595923,1.9836987345910304,5.349595658331406,2.07855011248202,,,,,,,,,,,,,,,1,44100,16,1582.3047197693797,0.04342403628117914,0.6508528160231122,132.6192894454266,NA,NA,1.990117,0.6508528160231122,0.424244,13.427115111582394,60,0.029713711559280088,-0.9364649014863968,-0.9359965211094582,0.999792246097058,0.033052839310542564,0.6648326040455662,0.9789724692540863
Alto2_Ah_9,232.28526030153412,Alto2,Ah,9,Alto2_Ah_9.wav,Vocals/Alto2/Ah/Alto2_Ah_9.wav,Alto2_Ah_9.wav,78.45055357321496,4.590724816304848,10.999296890963302,0.966011217566486,-9.75838112051259,1.6958648772380391,4.247745293782161,1.1196375149784865,-19.259880556764937,2.026448969087651,0.2667278408795676,1.4588849727721709,-16.013458226202786,2.925831932048847,20.830458998987165,1.5461862420633186,-3.7904568184550618,2.111143947340002,-10.255400747389695,2.3630217349147835,-10.027328760001131,1.7882111738439066,15.366419246952953,3.166127629264564,,,,,,,,,,,,,,,1,44100,16,1667.1683670311547,0.04551020408163265,0.6652488009513724,137.3019378361337,NA,NA,2.085084,0.6652488009513724,0.333372,13.028128682644496,62,0.037379618783073706,-0.6992008869249705,-0.6927450587995487,0.9923085867582055,0.18011673694875038,0.6778601834935482,0.9813953041508068
Alto2_Ah_10,246.29644205585245,Alto2,Ah,10,Alto2_Ah_10.wav,Vocals/Alto2/Ah/Alto2_Ah_10.wav,Alto2_Ah_10.wav,78.49056809684812,4.5500015169078925,9.97390858568282,1.1484815010794032,-10.9760918544024,1.5912363003809715,2.837065366180705,1.1149182289554338,-20.574175473306926,2.160425369270774,0.5584183767298398,1.2102948965334361,-14.100926650629372,1.5755510224923852,21.93000985280036,2.0236926413491756,-10.235639810794403,2.1277474229293416,-11.51506262215354,2.8112039500359907,-4.089459118400731,2.4358704446077004,12.454246254208986,2.0666054427515506,,,,,,,,,,,,,,,1,44100,16,1691.683416963788,0.0481859410430839,0.66783986317438,130.12959618219637,NA,NA,2.08634,0.66783986317438,0.331393,12.849610093080432,69,0.038364955607635004,-0.8297938627444894,-0.7866115501327895,0.9970222034579368,0.1190818577565263,0.6804609186354745,0.9814521964223846
